"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1980-11","Nov-1980","PC","Percentage","0","Units",,,5.8516704,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1980-12","Dec-1980","PC","Percentage","0","Units",,,6.0523689,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-01","Jan-1981","PC","Percentage","0","Units",,,5.9175436,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-02","Feb-1981","PC","Percentage","0","Units",,,5.6173622,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-03","Mar-1981","PC","Percentage","0","Units",,,5.7468472,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-04","Apr-1981","PC","Percentage","0","Units",,,5.5557646,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-05","May-1981","PC","Percentage","0","Units",,,5.5896988,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-06","Jun-1981","PC","Percentage","0","Units",,,5.374706,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-07","Jul-1981","PC","Percentage","0","Units",,,5.8283542,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-08","Aug-1981","PC","Percentage","0","Units",,,5.8469367,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-09","Sep-1981","PC","Percentage","0","Units",,,5.8138744,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-10","Oct-1981","PC","Percentage","0","Units",,,5.8733871,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-11","Nov-1981","PC","Percentage","0","Units",,,5.9965103,,
